Agency Department,State,Talent Size,Estimated Layoff
Department of State,Utah,30,0
Department of State,West Virginia,50,0
Department of State,Wisconsin,30,0
Department of the Interior,Delaware,510,0
Department of the Interior,Rhode Island,660,0
Department of the Interior,Vermont,1010,0
Department of the Navy,Alaska,90,0
Department of the Navy,Arkansas,180,0
Department of the Navy,Delaware,200,0
Department of the Navy,Iowa,170,0
Department of the Navy,Kansas,160,0
Department of the Navy,Kentucky,370,0
Department of the Navy,Michigan,650,0
Department of the Navy,Minnesota,340,0
Department of the Navy,Montana,120,0
Department of the Navy,Nebraska,340,0
Department of the Navy,New Hampshire,280,0
Department of the Navy,North Dakota,50,0
Department of the Navy,Oregon,480,0
Department of the Navy,South Dakota,70,0
Department of the Navy,Vermont,70,0
Department of the Navy,West Virginia,130,0
Department of the Navy,Wyoming,40,0
Department of the Treasury,Connecticut,70,0
Department of the Treasury,Vermont,300,0
Development Finance Corporation,Alabama,10,0
Development Finance Corporation,Alaska,10,0
Development Finance Corporation,Arizona,30,0
Development Finance Corporation,California,120,0
Development Finance Corporation,Colorado,140,0
Development Finance Corporation,Connecticut,30,0
Development Finance Corporation,Delaware,20,0
Development Finance Corporation,Florida,120,0
Development Finance Corporation,Georgia,120,0
Development Finance Corporation,Idaho,10,0
Development Finance Corporation,Illinois,90,0
Development Finance Corporation,Indiana,10,0
Development Finance Corporation,Iowa,10,0
Development Finance Corporation,Kansas,20,0
Development Finance Corporation,Kentucky,10,0
Development Finance Corporation,Louisiana,0,0
Development Finance Corporation,Maine,10,0
Development Finance Corporation,Massachusetts,30,0
Development Finance Corporation,Michigan,10,0
Development Finance Corporation,Minnesota,20,0
Development Finance Corporation,Mississippi,10,0
Development Finance Corporation,Montana,20,0
Development Finance Corporation,Nebraska,10,0
Development Finance Corporation,New Jersey,60,0
Development Finance Corporation,New Mexico,30,0
Development Finance Corporation,North Carolina,70,0
Development Finance Corporation,Ohio,30,0
Development Finance Corporation,Oklahoma,30,0
Development Finance Corporation,Oregon,0,0
Development Finance Corporation,Pennsylvania,30,0
Development Finance Corporation,South Carolina,30,0
Development Finance Corporation,Tennessee,20,0
Development Finance Corporation,Texas,140,0
Development Finance Corporation,Utah,20,0
Development Finance Corporation,Virginia,260,0
Development Finance Corporation,Washington,50,0
Development Finance Corporation,West Virginia,10,0
Development Finance Corporation,Wisconsin,40,0
Election Assistance Commission,Arizona,10,0
Election Assistance Commission,Arkansas,10,0
Election Assistance Commission,California,40,0
Election Assistance Commission,Colorado,50,0
Election Assistance Commission,Florida,30,0
Election Assistance Commission,Georgia,10,0
Election Assistance Commission,Idaho,10,0
Election Assistance Commission,Indiana,30,0
Election Assistance Commission,Maine,10,0
Election Assistance Commission,Maryland,40,0
Election Assistance Commission,Michigan,30,0
Election Assistance Commission,Mississippi,10,0
Election Assistance Commission,New Hampshire,10,0
Election Assistance Commission,New York,20,0
Election Assistance Commission,North Carolina,30,0
Election Assistance Commission,Ohio,10,0
Election Assistance Commission,Oklahoma,0,0
Election Assistance Commission,Pennsylvania,30,0
Election Assistance Commission,South Carolina,10,0
Election Assistance Commission,Tennessee,10,0
Election Assistance Commission,Texas,30,0
Election Assistance Commission,Virginia,20,0
Election Assistance Commission,Washington,10,0
Environmental Protection Agency,Arizona,360,0
Environmental Protection Agency,Arkansas,40,0
Environmental Protection Agency,Connecticut,10,0
Environmental Protection Agency,Delaware,100,0
Environmental Protection Agency,Hawaii,130,0
Environmental Protection Agency,Indiana,300,0
Environmental Protection Agency,Iowa,40,0
Environmental Protection Agency,Kentucky,270,0
Environmental Protection Agency,Louisiana,200,0
Environmental Protection Agency,Maine,140,0
Environmental Protection Agency,Mississippi,190,0
Environmental Protection Agency,Nebraska,60,0
Environmental Protection Agency,Nevada,390,0
Environmental Protection Agency,New Hampshire,100,0
Environmental Protection Agency,New Mexico,150,0
Environmental Protection Agency,North Dakota,40,0
Environmental Protection Agency,South Carolina,160,0
Environmental Protection Agency,South Dakota,30,0
Environmental Protection Agency,Tennessee,210,0
Environmental Protection Agency,Utah,170,0
Environmental Protection Agency,Vermont,40,0
Environmental Protection Agency,Wisconsin,170,0
Environmental Protection Agency,Wyoming,40,0
Equal Employment Opportunity Commission,Hawaii,70,0
Equal Employment Opportunity Commission,Iowa,10,0
Equal Employment Opportunity Commission,Kentucky,90,0
Equal Employment Opportunity Commission,Massachusetts,180,0
Equal Employment Opportunity Commission,Minnesota,170,0
Equal Employment Opportunity Commission,Nebraska,0,0
Equal Employment Opportunity Commission,New Jersey,190,0
Equal Employment Opportunity Commission,New Mexico,130,0
Equal Employment Opportunity Commission,Oklahoma,190,0
Equal Employment Opportunity Commission,Oregon,40,0
Equal Employment Opportunity Commission,South Carolina,80,0
Equal Employment Opportunity Commission,South Dakota,20,0
Equal Employment Opportunity Commission,Utah,10,0
Equal Employment Opportunity Commission,Wisconsin,200,0
Equal Employment Opportunity Commission,Wyoming,10,0
Export-Import Bank of the United States,Alabama,10,0
Export-Import Bank of the United States,Arizona,10,0
Export-Import Bank of the United States,California,50,0
Export-Import Bank of the United States,Colorado,30,0
Export-Import Bank of the United States,Connecticut,0,0
Export-Import Bank of the United States,Delaware,0,0
Export-Import Bank of the United States,Florida,50,0
Export-Import Bank of the United States,Georgia,10,0
Export-Import Bank of the United States,Illinois,20,0
Export-Import Bank of the United States,Kentucky,10,0
Export-Import Bank of the United States,Michigan,10,0
Export-Import Bank of the United States,Minnesota,10,0
Export-Import Bank of the United States,New Hampshire,0,0
Export-Import Bank of the United States,New York,30,0
Export-Import Bank of the United States,North Carolina,10,0
Export-Import Bank of the United States,Ohio,10,0
Export-Import Bank of the United States,Pennsylvania,10,0
Export-Import Bank of the United States,South Carolina,10,0
Export-Import Bank of the United States,Texas,50,0
Export-Import Bank of the United States,Virginia,30,0
Export-Import Bank of the United States,Washington,10,0
Export-Import Bank of the United States,Wisconsin,0,0
Farm Credit Administration,Florida,20,0
Farm Credit Administration,Illinois,20,0
Farm Credit Administration,Indiana,10,0
Farm Credit Administration,Iowa,50,0
Farm Credit Administration,Kansas,10,0
Farm Credit Administration,Kentucky,10,0
Farm Credit Administration,Montana,10,0
Farm Credit Administration,Nebraska,10,0
Farm Credit Administration,New Jersey,10,0
Farm Credit Administration,New York,10,0
Farm Credit Administration,Ohio,10,0
Farm Credit Administration,Pennsylvania,0,0
Farm Credit Administration,Tennessee,10,0
Farm Credit System Insurance Corporation,Texas,10,0
Farm Credit System Insurance Corporation,Virginia,90,0
Federal Communications Commission,Arizona,10,0
Federal Communications Commission,California,100,0
Federal Communications Commission,Colorado,30,0
Federal Communications Commission,Connecticut,0,0
Federal Communications Commission,Florida,80,0
Federal Communications Commission,Georgia,150,0
Federal Communications Commission,Hawaii,10,0
Federal Communications Commission,Illinois,60,0
Federal Communications Commission,Louisiana,10,0
Federal Communications Commission,Maine,10,0
Federal Communications Commission,Massachusetts,60,0
Federal Communications Commission,Michigan,10,0
Federal Communications Commission,Mississippi,0,0
Federal Communications Commission,New Jersey,10,0
Federal Communications Commission,New York,80,0
Federal Communications Commission,North Carolina,50,0
Federal Communications Commission,Ohio,10,0
Federal Communications Commission,Oklahoma,10,0
Federal Communications Commission,Oregon,10,0
Federal Communications Commission,South Carolina,30,0
Federal Communications Commission,Tennessee,30,0
Federal Communications Commission,Texas,80,0
Federal Communications Commission,Virginia,20,0
Federal Communications Commission,Washington,20,0
Federal Communications Commission,Wisconsin,10,0
Federal Deposit Insurance Corporation,Maine,10,0
Federal Deposit Insurance Corporation,Rhode Island,60,0
Federal Deposit Insurance Corporation,Wyoming,0,0
Federal Election Commission,Maryland,10,0
Federal Election Commission,Virginia,20,0
Federal Financial Institutions Examination Council,Arizona,10,0
Federal Financial Institutions Examination Council,California,10,0
Federal Financial Institutions Examination Council,Colorado,20,0
Federal Financial Institutions Examination Council,Delaware,10,0
Federal Financial Institutions Examination Council,Florida,10,0
Federal Financial Institutions Examination Council,Idaho,10,0
Federal Financial Institutions Examination Council,Kansas,10,0
Federal Financial Institutions Examination Council,Maryland,20,0
Federal Financial Institutions Examination Council,Missouri,10,0
Federal Financial Institutions Examination Council,North Carolina,10,0
Federal Financial Institutions Examination Council,Utah,10,0
Federal Financial Institutions Examination Council,Virginia,20,0
Federal Housing Finance Agency,Alabama,80,0
Federal Housing Finance Agency,Arizona,80,0
Federal Housing Finance Agency,Connecticut,60,0
Federal Housing Finance Agency,Delaware,20,0
Federal Housing Finance Agency,Hawaii,10,0
Federal Housing Finance Agency,Idaho,10,0
Federal Housing Finance Agency,Indiana,130,0
Federal Housing Finance Agency,Iowa,100,0
Federal Housing Finance Agency,Kansas,170,0
Federal Housing Finance Agency,Kentucky,40,0
Federal Housing Finance Agency,Louisiana,130,0
Federal Housing Finance Agency,Maine,10,0
Federal Housing Finance Agency,Michigan,120,0
Federal Housing Finance Agency,Minnesota,100,0
Federal Housing Finance Agency,Mississippi,10,0
Federal Housing Finance Agency,Nebraska,50,0
Federal Housing Finance Agency,Nevada,40,0
Federal Housing Finance Agency,New Hampshire,30,0
Federal Housing Finance Agency,New Mexico,20,0
Federal Housing Finance Agency,North Carolina,210,0
Federal Housing Finance Agency,Oklahoma,110,0
Federal Housing Finance Agency,Rhode Island,10,0
Federal Housing Finance Agency,South Carolina,100,0
Federal Housing Finance Agency,South Dakota,10,0
Federal Housing Finance Agency,Tennessee,70,0
Federal Housing Finance Agency,Utah,10,0
Federal Housing Finance Agency,Washington,200,0
Federal Housing Finance Agency,West Virginia,50,0
Federal Housing Finance Agency,Wisconsin,80,0
Federal Labor Relations Authority,Alabama,11,0
Federal Labor Relations Authority,California,90,0
Federal Labor Relations Authority,Colorado,90,0
Federal Labor Relations Authority,Florida,10,0
Federal Labor Relations Authority,Georgia,91,0
Federal Labor Relations Authority,Illinois,60,0
Federal Labor Relations Authority,Maryland,80,0
Federal Labor Relations Authority,Massachusetts,10,0
Federal Labor Relations Authority,New Jersey,10,0
Federal Labor Relations Authority,New York,31,0
Federal Labor Relations Authority,Texas,0,0
Federal Labor Relations Authority,Virginia,51,0
Federal Labor Relations Authority,Washington,10,0
Federal Labor Relations Authority,West Virginia,10,0
Federal Labor Relations Authority,Wisconsin,10,0
Federal Maritime Commission,New Jersey,0,0
Federal Mediation and Conciliation Service,Alabama,10,0
Federal Mediation and Conciliation Service,Arizona,20,0
Federal Mediation and Conciliation Service,Arkansas,10,0
Federal Mediation and Conciliation Service,California,100,0
Federal Mediation and Conciliation Service,Colorado,40,0
Federal Mediation and Conciliation Service,Connecticut,30,0
Federal Mediation and Conciliation Service,Florida,50,0
Federal Mediation and Conciliation Service,Georgia,50,0
Federal Mediation and Conciliation Service,Hawaii,20,0
Federal Mediation and Conciliation Service,Indiana,30,0
Federal Mediation and Conciliation Service,Iowa,20,0
Federal Mediation and Conciliation Service,Kansas,10,0
Federal Mediation and Conciliation Service,Kentucky,30,0
Federal Mediation and Conciliation Service,Louisiana,10,0
Federal Mediation and Conciliation Service,Maine,10,0
Federal Mediation and Conciliation Service,Maryland,250,0
Federal Mediation and Conciliation Service,Massachusetts,30,0
Federal Mediation and Conciliation Service,Michigan,70,0
Federal Mediation and Conciliation Service,Minnesota,100,0
Federal Mediation and Conciliation Service,Missouri,30,0
Federal Mediation and Conciliation Service,Nebraska,10,0
Federal Mediation and Conciliation Service,Nevada,20,0
Federal Mediation and Conciliation Service,New Jersey,50,0
Federal Mediation and Conciliation Service,New Mexico,10,0
Federal Mediation and Conciliation Service,New York,80,0
Federal Mediation and Conciliation Service,North Carolina,30,0
Federal Mediation and Conciliation Service,Ohio,120,0
Federal Mediation and Conciliation Service,Oregon,20,0
Federal Mediation and Conciliation Service,Pennsylvania,110,0
Federal Mediation and Conciliation Service,Rhode Island,10,0
Federal Mediation and Conciliation Service,Tennessee,30,0
Federal Mediation and Conciliation Service,Texas,80,0
Federal Mediation and Conciliation Service,Virginia,150,0
Federal Mediation and Conciliation Service,Washington,90,0
Federal Mediation and Conciliation Service,West Virginia,20,0
Federal Mediation and Conciliation Service,Wisconsin,30,0
Federal Mine Safety and Health Review Commission,Colorado,60,0
Federal Mine Safety and Health Review Commission,Louisiana,10,0
Federal Mine Safety and Health Review Commission,Massachusetts,10,0
Federal Mine Safety and Health Review Commission,North Carolina,10,0
Federal Mine Safety and Health Review Commission,Pennsylvania,50,0
Federal Mine Safety and Health Review Commission,Virginia,10,0
Federal Permitting Improvement Steering Council,Alabama,10,0
Federal Permitting Improvement Steering Council,California,20,0
Federal Permitting Improvement Steering Council,Georgia,10,0
Federal Permitting Improvement Steering Council,Louisiana,20,0
Federal Permitting Improvement Steering Council,Maryland,10,0
Federal Permitting Improvement Steering Council,Minnesota,10,0
Federal Permitting Improvement Steering Council,Mississippi,10,0
Federal Permitting Improvement Steering Council,Missouri,10,0
Federal Permitting Improvement Steering Council,Montana,10,0
Federal Permitting Improvement Steering Council,New Mexico,20,0
Federal Permitting Improvement Steering Council,New York,10,0
Federal Permitting Improvement Steering Council,Virginia,50,0
Federal Reserve System,Alabama,20,0
Federal Reserve System,Arizona,90,0
Federal Reserve System,Colorado,180,0
Federal Reserve System,Connecticut,100,0
Federal Reserve System,Delaware,10,0
Federal Reserve System,Hawaii,10,0
Federal Reserve System,Idaho,10,0
Federal Reserve System,Indiana,50,0
Federal Reserve System,Iowa,60,0
Federal Reserve System,Kansas,30,0
Federal Reserve System,Kentucky,50,0
Federal Reserve System,Louisiana,20,0
Federal Reserve System,Maine,40,0
Federal Reserve System,Massachusetts,190,0
Federal Reserve System,Michigan,130,0
Federal Reserve System,Minnesota,110,0
Federal Reserve System,Mississippi,20,0
Federal Reserve System,Missouri,80,0
Federal Reserve System,Nevada,40,0
Federal Reserve System,New Hampshire,70,0
Federal Reserve System,Ohio,110,0
Federal Reserve System,Oklahoma,30,0
Federal Reserve System,Oregon,100,0
Federal Reserve System,Rhode Island,40,0
Federal Reserve System,South Carolina,80,0
Federal Reserve System,Tennessee,40,0
Federal Reserve System,Utah,20,0
Federal Reserve System,Vermont,10,0
Federal Reserve System,Virginia,190,0
Federal Reserve System,West Virginia,20,0
Federal Reserve System,Wisconsin,70,0
Federal Retirement Thrift Investment Board,Colorado,10,0
Federal Retirement Thrift Investment Board,Florida,10,0
Federal Retirement Thrift Investment Board,New Jersey,10,0
Federal Retirement Thrift Investment Board,South Carolina,0,0
Federal Retirement Thrift Investment Board,Texas,10,0
Federal Trade Commission,Alabama,0,0
Federal Trade Commission,Arizona,20,0
Federal Trade Commission,Colorado,70,0
Federal Trade Commission,Connecticut,0,0
Federal Trade Commission,Delaware,30,0
Federal Trade Commission,Florida,40,0
Federal Trade Commission,Hawaii,10,0
Federal Trade Commission,Iowa,10,0
Federal Trade Commission,Kentucky,20,0
Federal Trade Commission,Maryland,140,0
Federal Trade Commission,Massachusetts,50,0
Federal Trade Commission,Michigan,10,0
Federal Trade Commission,Minnesota,50,0
Federal Trade Commission,Missouri,10,0
Federal Trade Commission,New Jersey,10,0
Federal Trade Commission,North Carolina,50,0
Federal Trade Commission,Oklahoma,10,0
Federal Trade Commission,Oregon,20,0
Federal Trade Commission,Pennsylvania,50,0
Federal Trade Commission,Rhode Island,10,0
Federal Trade Commission,South Carolina,20,0
Federal Trade Commission,Tennessee,30,0
Federal Trade Commission,Vermont,20,0
Federal Trade Commission,West Virginia,10,0
Federal Trade Commission,Wisconsin,20,0
General Services Administration,Connecticut,480,0
General Services Administration,Delaware,320,0
General Services Administration,Hawaii,560,0
General Services Administration,Idaho,310,0
General Services Administration,Iowa,340,0
General Services Administration,Kentucky,450,0
General Services Administration,Maine,330,0
General Services Administration,Minnesota,910,0
General Services Administration,Mississippi,410,0
General Services Administration,Montana,270,0
General Services Administration,Nebraska,350,0
General Services Administration,Nevada,500,0
General Services Administration,New Mexico,490,0
General Services Administration,North Dakota,190,0
General Services Administration,Oklahoma,630,0
General Services Administration,Rhode Island,270,0
General Services Administration,South Carolina,870,0
General Services Administration,South Dakota,180,0
General Services Administration,Utah,440,0
General Services Administration,Vermont,130,0
General Services Administration,Wyoming,80,0
Government Printing Office,Alabama,10,0
Government Printing Office,California,60,0
Government Printing Office,Colorado,200,0
Government Printing Office,Delaware,10,0
Government Printing Office,Florida,70,0
Government Printing Office,Georgia,140,0
Government Printing Office,Idaho,10,0
Government Printing Office,Illinois,50,0
Government Printing Office,Indiana,10,0
Government Printing Office,Kentucky,0,0
Government Printing Office,Maryland,150,0
Government Printing Office,Massachusetts,10,0
Government Printing Office,Michigan,30,0
Government Printing Office,Minnesota,20,0
Government Printing Office,Nevada,10,0
Government Printing Office,New Jersey,20,0
Government Printing Office,New York,30,0
Government Printing Office,North Carolina,70,0
Government Printing Office,Ohio,80,0
Government Printing Office,Oregon,10,0
Government Printing Office,Pennsylvania,80,0
Government Printing Office,South Carolina,80,0
Government Printing Office,Tennessee,10,0
Government Printing Office,Texas,170,0
Government Printing Office,Virginia,120,0
Government Printing Office,Washington,80,0
Government Printing Office,Wisconsin,10,0
Gulf Coast Ecosystem Restoration Council,Alabama,40,0
Gulf Coast Ecosystem Restoration Council,California,10,0
Gulf Coast Ecosystem Restoration Council,Florida,20,0
Gulf Coast Ecosystem Restoration Council,Georgia,0,0
Gulf Coast Ecosystem Restoration Council,Louisiana,100,0
Gulf Coast Ecosystem Restoration Council,Mississippi,20,0
Gulf Coast Ecosystem Restoration Council,Pennsylvania,0,0
Gulf Coast Ecosystem Restoration Council,Texas,30,0
Gulf Coast Ecosystem Restoration Council,Virginia,10,0
Inter-American Foundation,California,0,0
Inter-American Foundation,Florida,10,0
Inter-American Foundation,New Mexico,0,0
International Boundary Commission: United States and Canada,Maine,30,0
International Boundary Commission: United States and Canada,Minnesota,10,0
International Boundary Commission: United States and Canada,Montana,10,0
International Boundary Commission: United States and Canada,North Dakota,20,0
"International Boundary and Water Commission, U.S. Section",Arizona,200,0
"International Boundary and Water Commission, U.S. Section",California,50,0
"International Boundary and Water Commission, U.S. Section",Colorado,10,0
"International Boundary and Water Commission, U.S. Section",Florida,10,0
"International Boundary and Water Commission, U.S. Section",Georgia,10,0
"International Boundary and Water Commission, U.S. Section",Kentucky,10,0
"International Boundary and Water Commission, U.S. Section",Missouri,0,0
"International Boundary and Water Commission, U.S. Section",New Mexico,90,0
"International Boundary and Water Commission, U.S. Section",Oklahoma,10,0
"International Boundary and Water Commission, U.S. Section",Virginia,10,0
"International Boundary and Water Commission, U.S. Section",Washington,10,0
International Joint Commission: United States and Canada,Florida,0,0
International Joint Commission: United States and Canada,Michigan,50,0
International Joint Commission: United States and Canada,Minnesota,10,0
International Joint Commission: United States and Canada,Montana,0,0
International Joint Commission: United States and Canada,New York,10,0
International Joint Commission: United States and Canada,North Dakota,10,0
James Madison Memorial Fellowship Foundation,Virginia,50,0
Japan-United States Friendship Commission,Massachusetts,10,0
Japan-United States Friendship Commission,Pennsylvania,10,0
Japan-United States Friendship Commission,Texas,10,0
Judicial Branch,Arizona,30,0
Judicial Branch,California,20,0
Judicial Branch,Colorado,20,0
Judicial Branch,Connecticut,0,0
Judicial Branch,Florida,10,0
Judicial Branch,Illinois,10,0
Judicial Branch,Kentucky,10,0
Judicial Branch,New York,10,0
Judicial Branch,Pennsylvania,10,0
Judicial Branch,Tennessee,20,0
Judicial Branch,Texas,30,0
Judicial Branch,Washington,10,0
Marine Mammal Commission,Alaska,10,0
Marine Mammal Commission,California,30,0
Marine Mammal Commission,Colorado,10,0
Marine Mammal Commission,Florida,10,0
Marine Mammal Commission,Maryland,80,0
Marine Mammal Commission,Massachusetts,20,0
Marine Mammal Commission,Montana,10,0
Marine Mammal Commission,New Hampshire,10,0
Marine Mammal Commission,North Carolina,10,0
Marine Mammal Commission,Oregon,0,0
Marine Mammal Commission,South Carolina,20,0
Marine Mammal Commission,Washington,20,0
Medicaid and CHIP Payment and Access Commission,California,10,0
Medicaid and CHIP Payment and Access Commission,Maryland,20,0
Medicaid and CHIP Payment and Access Commission,Michigan,10,0
Medicaid and CHIP Payment and Access Commission,Utah,10,0
Medicaid and CHIP Payment and Access Commission,Washington,10,0
Merit Systems Protection Board,California,120,0
Merit Systems Protection Board,Colorado,80,0
Merit Systems Protection Board,Florida,10,0
Merit Systems Protection Board,Illinois,110,0
Merit Systems Protection Board,New Jersey,10,0
Merit Systems Protection Board,New York,20,0
Merit Systems Protection Board,Pennsylvania,110,0
Merit Systems Protection Board,Texas,120,0
Merit Systems Protection Board,Virginia,120,0
Millennium Challenge Corporation,Alabama,10,0
Millennium Challenge Corporation,Arizona,0,0
Millennium Challenge Corporation,California,40,0
Millennium Challenge Corporation,Colorado,20,0
Millennium Challenge Corporation,Florida,20,0
Millennium Challenge Corporation,Georgia,0,0
Millennium Challenge Corporation,Louisiana,0,0
Millennium Challenge Corporation,Maryland,70,0
Millennium Challenge Corporation,New Hampshire,10,0
Millennium Challenge Corporation,New York,40,0
Millennium Challenge Corporation,Ohio,20,0
Millennium Challenge Corporation,Texas,10,0
Millennium Challenge Corporation,Virginia,40,0
Millennium Challenge Corporation,Washington,10,0
Morris K. Udall and Stewart L. Udall Foundation,California,50,0
Morris K. Udall and Stewart L. Udall Foundation,Colorado,10,0
Morris K. Udall and Stewart L. Udall Foundation,Kentucky,0,0
Morris K. Udall and Stewart L. Udall Foundation,Louisiana,10,0
Morris K. Udall and Stewart L. Udall Foundation,Massachusetts,10,0
Morris K. Udall and Stewart L. Udall Foundation,Michigan,10,0
Morris K. Udall and Stewart L. Udall Foundation,New Jersey,0,0
Morris K. Udall and Stewart L. Udall Foundation,North Carolina,10,0
Morris K. Udall and Stewart L. Udall Foundation,Tennessee,20,0
Morris K. Udall and Stewart L. Udall Foundation,Washington,0,0
National Aeronautics and Space Administration,Arizona,150,0
National Aeronautics and Space Administration,Arkansas,50,0
National Aeronautics and Space Administration,Colorado,550,0
National Aeronautics and Space Administration,Connecticut,0,0
National Aeronautics and Space Administration,Delaware,10,0
National Aeronautics and Space Administration,Georgia,190,0
National Aeronautics and Space Administration,Hawaii,50,0
National Aeronautics and Space Administration,Idaho,40,0
National Aeronautics and Space Administration,Illinois,120,0
National Aeronautics and Space Administration,Indiana,80,0
National Aeronautics and Space Administration,Iowa,60,0
National Aeronautics and Space Administration,Kansas,40,0
National Aeronautics and Space Administration,Kentucky,50,0
National Aeronautics and Space Administration,Maine,40,0
National Aeronautics and Space Administration,Massachusetts,130,0
National Aeronautics and Space Administration,Michigan,110,0
National Aeronautics and Space Administration,Minnesota,110,0
National Aeronautics and Space Administration,Missouri,90,0
National Aeronautics and Space Administration,Montana,30,0
National Aeronautics and Space Administration,Nebraska,20,0
National Aeronautics and Space Administration,Nevada,60,0
National Aeronautics and Space Administration,New Hampshire,60,0
National Aeronautics and Space Administration,New Jersey,90,0
National Aeronautics and Space Administration,North Carolina,300,0
National Aeronautics and Space Administration,Oklahoma,70,0
National Aeronautics and Space Administration,Oregon,50,0
National Aeronautics and Space Administration,Pennsylvania,220,0
National Aeronautics and Space Administration,Rhode Island,20,0
National Aeronautics and Space Administration,South Carolina,160,0
National Aeronautics and Space Administration,South Dakota,20,0
National Aeronautics and Space Administration,Tennessee,150,0
National Aeronautics and Space Administration,Utah,110,0
National Aeronautics and Space Administration,Vermont,40,0
National Aeronautics and Space Administration,Washington,290,0
National Aeronautics and Space Administration,Wisconsin,40,0
National Aeronautics and Space Administration,Wyoming,10,0
National Archives and Records Administration,Colorado,160,0
National Archives and Records Administration,Connecticut,10,0
National Archives and Records Administration,Florida,40,0
National Archives and Records Administration,Iowa,150,0
National Archives and Records Administration,Kentucky,10,0
National Archives and Records Administration,Michigan,260,0
National Archives and Records Administration,Nebraska,10,0
National Archives and Records Administration,New Hampshire,10,0
National Archives and Records Administration,New Jersey,20,0
National Archives and Records Administration,New York,290,0
National Archives and Records Administration,South Carolina,10,0
National Archives and Records Administration,Tennessee,10,0
National Archives and Records Administration,Virginia,30,0
National Archives and Records Administration,West Virginia,90,0
National Archives and Records Administration,Wisconsin,10,0
National Council on Disability,California,20,0
National Council on Disability,Indiana,10,0
National Council on Disability,Maryland,30,0
National Council on Disability,Nevada,10,0
National Council on Disability,New Mexico,10,0
National Council on Disability,Pennsylvania,10,0
National Council on Disability,Virginia,40,0
National Credit Union Administration,Arkansas,60,0
National Credit Union Administration,Delaware,20,0
National Credit Union Administration,Hawaii,70,0
National Credit Union Administration,Idaho,20,0
National Credit Union Administration,Iowa,10,0
National Credit Union Administration,Kansas,90,0
National Credit Union Administration,Kentucky,120,0
National Credit Union Administration,Maryland,100,0
National Credit Union Administration,Mississippi,60,0
National Credit Union Administration,Missouri,80,0
National Credit Union Administration,Montana,30,0
National Credit Union Administration,Nebraska,60,0
National Credit Union Administration,Nevada,20,0
National Credit Union Administration,New Hampshire,10,0
National Credit Union Administration,New Mexico,60,0
National Credit Union Administration,North Dakota,40,0
National Credit Union Administration,Oklahoma,40,0
National Credit Union Administration,Rhode Island,30,0
National Credit Union Administration,South Carolina,80,0
National Credit Union Administration,South Dakota,20,0
National Credit Union Administration,Vermont,20,0
National Credit Union Administration,West Virginia,80,0
National Credit Union Administration,Wisconsin,70,0
National Credit Union Administration,Wyoming,20,0
National Foundation on the Arts and the Humanities,California,40,0
National Foundation on the Arts and the Humanities,Colorado,10,0
National Foundation on the Arts and the Humanities,Connecticut,0,0
National Foundation on the Arts and the Humanities,Delaware,20,0
National Foundation on the Arts and the Humanities,Florida,50,0
National Foundation on the Arts and the Humanities,Georgia,0,0
National Foundation on the Arts and the Humanities,Illinois,40,0
National Foundation on the Arts and the Humanities,Indiana,10,0
National Foundation on the Arts and the Humanities,Kansas,10,0
National Foundation on the Arts and the Humanities,Louisiana,10,0
National Foundation on the Arts and the Humanities,Maine,10,0
National Foundation on the Arts and the Humanities,Massachusetts,30,0
National Foundation on the Arts and the Humanities,Michigan,0,0
National Foundation on the Arts and the Humanities,Minnesota,10,0
National Foundation on the Arts and the Humanities,Missouri,10,0
National Foundation on the Arts and the Humanities,Nebraska,10,0
National Foundation on the Arts and the Humanities,Nevada,10,0
National Foundation on the Arts and the Humanities,New Jersey,10,0
National Foundation on the Arts and the Humanities,New Mexico,10,0
National Foundation on the Arts and the Humanities,New York,90,0
National Foundation on the Arts and the Humanities,North Carolina,10,0
National Foundation on the Arts and the Humanities,Oregon,10,0
National Foundation on the Arts and the Humanities,Pennsylvania,60,0
National Foundation on the Arts and the Humanities,Tennessee,10,0
National Foundation on the Arts and the Humanities,Texas,10,0
National Foundation on the Arts and the Humanities,Utah,10,0
National Foundation on the Arts and the Humanities,Virginia,270,0
National Foundation on the Arts and the Humanities,Washington,20,0
National Foundation on the Arts and the Humanities,West Virginia,20,0
National Foundation on the Arts and the Humanities,Wisconsin,10,0
National Labor Relations Board,Alabama,72,0
National Labor Relations Board,Alaska,0,0
National Labor Relations Board,Arkansas,52,0
National Labor Relations Board,Colorado,184,0
National Labor Relations Board,Connecticut,123,0
National Labor Relations Board,Hawaii,60,0
National Labor Relations Board,Indiana,206,0
National Labor Relations Board,Kansas,132,0
National Labor Relations Board,Louisiana,213,0
National Labor Relations Board,Maryland,217,0
National Labor Relations Board,Massachusetts,225,0
National Labor Relations Board,Minnesota,164,0
National Labor Relations Board,Missouri,143,0
National Labor Relations Board,Nevada,63,0
National Labor Relations Board,New Jersey,266,0
National Labor Relations Board,New Mexico,20,0
National Labor Relations Board,North Carolina,187,0
National Labor Relations Board,Oklahoma,32,0
National Labor Relations Board,Oregon,84,0
National Labor Relations Board,Tennessee,73,0
National Labor Relations Board,Utah,10,0
National Labor Relations Board,Virginia,30,0
National Labor Relations Board,Wisconsin,187,0
National Mediation Board,Delaware,10,0
National Mediation Board,Illinois,40,0
National Mediation Board,Maryland,20,0
National Mediation Board,Massachusetts,10,0
